Sport ,,Sport Persian,Competition,Country, Country Persian,Competition Persian
Football,SOCCER,فوتبال,Czech Republic. 5 Liga,Czech Republic,جمهوری چک,لیگ ۵ جمهوری چک
Football,SOCCER,فوتبال,Professional League,Saudi Arabia,عربستان سعودی,لیگ حرفه‌ای عربستان سعودی
Football,SOCCER,فوتبال,Premiere League - Regular,Russia,روسیه,لیگ برتر روسیه
Football,SOCCER,فوتبال,FNL,Russia,روسیه,لیگ ملی روسیه
Football,SOCCER,فوتبال,Division 2 - South,Russia,روسیه,لیگ دسته دوم - جنوب روسیه
Football,SOCCER,فوتبال,Premier League U21,Russia,روسیه,لیگ برتر جوانان روسیه
Football,SOCCER,فوتبال,Liga 2,Indonesia,اندونزی,لیگ ۲ اندونزی 
Football,SOCCER,فوتبال,Serie A,Italy,ایتالیا,سری آ ایتالیا
Football,SOCCER,فوتبال,Serie B,Italy,ایتالیا,سری بی ایتالیا
Football,SOCCER,فوتبال,Serie C - Group C,Italy,ایتالیا,لیگ پرو ایتالیا  گروه سی
Football,SOCCER,فوتبال,Serie C - Group A,Italy,ایتالیا,لیگ پرو ایتالیا  گروه آ
Football,SOCCER,فوتبال,Serie C - Group B,Italy,ایتالیا,لیگ پرو ایتالیا  گروه بی
Football,SOCCER,فوتبال,Campionato Primavera 2-B,Italy,ایتالیا,کامپیوناتو پریماورا ایتالیا  ۲-بی
Football,SOCCER,فوتبال,Campionato Primavera 1,Italy,ایتالیا,کامپیوناتو پریماورا ایتالیا   ۱
Football,SOCCER,فوتبال,Campionato Primavera 2-A,Italy,ایتالیا,کامپیوناتو پریماورا ایتالیا  ۲-آ
Football,SOCCER,فوتبال,LaLiga,Spain,اسپانیا,لا لیگا اسپانیا
Football,SOCCER,فوتبال,LaLiga2,Spain,اسپانیا,سگوندا دیویژن اسپانیا 
Football,SOCCER,فوتبال,Segunda Division B2,Spain,اسپانیا,سگوندا دیویژن اسپانیا  بی ۲ 
Football,SOCCER,فوتبال,Segunda Division B3,Spain,اسپانیا,سگوندا دیویژن اسپانیا  بی ۳ 
Football,SOCCER,فوتبال,Segunda Division B4,Spain,اسپانیا,سگوندا دیویژن اسپانیا  بی ۴ 
